Sample #,Date Collected,Sampling Time,Time Of Low Tide,Julian Day,Site Code,Site Name,Site Latitude,Site Longitude,Air Temperature,Surface Water Temperature,Water Temperature At -3 Feet,Salinity,Chlorophyll,Oyster Tissue Temperature,"Total Vibrio Parahaemolyticus, Water","Tdh+ Vibrio Parahaemolyticus, Water","Total Vibrio Parahaemolyticus, Net Tow","Tdh+ Vibrio Parahaemolyticus, Net Tow","Total Vibrio Parahemolyticus, Oyster","Tdh+ Vibrio Parahaemolyticus, Oyster",Record Number,Accessed Date,Source Url,Preferred Citation
453,2008-07-08 00:00:00,2008-07-08 15:30:00,2008-07-08 16:30:00,189,TCSS0T2,South Totten Inlet,47.11496,-123.02234,26.2,20.5,19.1,25,6.819,27.7,,,630,274,4.3,.03,Row 17 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
458,2008-07-09 00:00:00,2008-07-09 08:00:00,2008-07-09 06:04:00,190,JCHC013,Dabob Bay,47.76963,-122.82102,15.1,17.7,17.8,17,.43,17.4,181,108,93.1,35.2,4.3,.15,Row 18 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
459,2008-07-09 00:00:00,2008-07-09 05:50:00,2008-07-09 05:17:00,190,JCMI005,Mystery Bay,48.0569,-122.69488,13.1,17.5,17.9,36,11.447,14.1,480,50.6,187,161,2.3,.23,Row 19 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
460,2008-07-09 00:00:00,2008-07-09 06:20:00,2008-07-09 05:15:00,190,KPHC012,Misery point,47.65506,-122.82842,14.7,17.4,16.8,30,1.662,13.3,3430,1130,7930,4540,2.3,0,Row 20 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
462,2008-07-09 00:00:00,2008-07-09 08:00:00,2008-07-09 06:00:00,190,MCSS008,"Case Inlet, North North Bay",47.40244,-122.82406,20.4,17.2,17.2,30,1.009,15.6,2160,1400,16400,6760,150,0,Row 21 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
461,2008-07-09 00:00:00,2008-07-09 07:30:00,2008-07-09 06:00:00,190,PCCA002,Rocky Bay,47.35595,-122.79679,15.1,16.3,16.5,31,1.967,12.8,11300,5240,453,85.6,2.3,.036,Row 22 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
457,2008-07-10 00:00:00,2008-07-10 11:30:00,2008-07-10 06:30:00,191,JCHC011,Quilcene Bay,47.78746,-122.85935,19.3,22.3,21.9,27,.851,19.9,194,118,162,57.7,2300,15,Row 23 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
468,2008-07-10 00:00:00,2008-07-10 08:30:00,2008-07-10 06:30:00,191,JCHC021,Duckabush,47.64711,-122.92964,15.7,15.3,16.5,20,2.992,18.6,662,28.5,1880,1120,.36,0,Row 24 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
469,2008-07-10 00:00:00,2008-07-10 09:40:00,2008-07-10 06:20:00,191,MCHC004,"Mike's beach, Hood canal",47.55801,-123.02454,,20.4,20.2,5,.46,19.1,1780,1050,797,333,2300,.43,Row 25 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
470,2008-07-10 00:00:00,2008-07-10 06:00:00,2008-07-10 06:20:00,191,MCHC005,"Hama Hama, Hood canal",47.54319,-123.03878,,18.14,18.5,34,.94,16,17100,16500,872,513,9.3,0,Row 26 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
466,2008-07-10 00:00:00,2008-07-10 06:30:00,2008-07-10 06:20:00,191,MCHC010,"Twanoh park, Hood canal",47.38054,-122.95776,10.9,20.3,20.5,28,.717,11.2,13600,8630,628,169,930,0,Row 27 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
465,2008-07-10 00:00:00,2008-07-10 07:15:00,2008-07-10 06:20:00,191,MCHC014,"Belfair park, Hood canal",47.42855,-122.87437,12.1,18.5,19.1,25,1.667,12.8,19000,14000,432,222,220,0,Row 28 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
464,2008-07-10 00:00:00,2008-07-10 07:45:00,2008-07-10 06:20:00,191,MCHC019,"Sister's point, Hood canal",47.35876,-123.04118,14.8,20,20,28,.84,13.8,10800,8380,691,30.5,9300,0,Row 29 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
463,2008-07-10 00:00:00,2008-07-10 05:50:00,2008-07-10 06:20:00,191,MCHC021,Cushman Park,47.420513,-123.130387,10.9,18.9,18.8,30,.595,10.9,11000,10100,428,106,23,0,Row 30 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
467,2008-07-10 00:00:00,2008-07-10 05:25:00,2008-07-10 06:20:00,191,MCHC056,Hoodsport,47.39555,-123.1438,11.3,18.3,18.1,29,.706,11.3,1270,773,13.9,6.72,430,.036,Row 31 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
472,2008-07-14 00:00:00,2008-07-14 09:25:00,2008-07-14 09:00:00,195,JCHC011,Quilcene Bay,47.78746,-122.85935,27.6,21.7,19.8,27,.276,31.2,,,10700,349,93,.15,Row 32 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
471,2008-07-14 00:00:00,2008-07-14 10:20:00,2008-07-14 09:00:00,195,JCHC013,Dabob Bay,47.76963,-122.82102,25.9,20.9,17.7,17,4.168,24.9,,,5600,620,43,.75,Row 33 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
473,2008-07-14 00:00:00,2008-07-14 11:00:00,2008-07-14 09:30:00,195,JCMI005,Mystery Bay,48.0569,-122.69488,17.4,20.9,20.2,29,2.045,25.9,,,83.1,36.6,.3,0,Row 34 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
474,2008-07-14 00:00:00,2008-07-14 12:30:00,2008-07-14 09:10:00,195,KPHC012,Misery point,47.65506,-122.82842,22.2,20.3,20.1,26,1.005,32.9,,,28000,11600,4.3,0,Row 35 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
476,2008-07-14 00:00:00,2008-07-14 10:00:00,2008-07-14 10:08:00,195,MCSS008,"Case Inlet, North North Bay",47.40244,-122.82406,15.6,18.9,20.3,19,5.26,24.2,,,6820,2000,9.3,0,Row 36 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
475,2008-07-14 00:00:00,2008-07-14 11:00:00,2008-07-14 09:50:00,195,PCCA002,Rocky Bay,47.35595,-122.79679,25.1,21.2,21.3,28,2.676,28,,,17400,9450,2.3,0,Row 37 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
477,2008-07-14 00:00:00,2008-07-14 11:45:00,2008-07-14 12:00:00,195,TCSS0E0,Eld Inlet,47.11399,-122.94886,16.2,21.5,,0,12.846,27.4,,,,,2300,.75,Row 38 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
